split,experiment_type,ensemble_name,member_key,feature_config,model_name,n_members,fit_seconds,best_iteration,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.05,742,238,0.32075471698113206,0.145565749235474,0.1102643647154033,2.908960821649068
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.1,1483,399,0.26904922454484154,0.24403669724770644,0.1102643647154033,2.440037860275786
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.2,2966,640,0.2157788267026298,0.39143730886850153,0.1102643647154033,1.9569225947073972
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.05,742,236,0.31805929919137466,0.14434250764525994,0.1102643647154033,2.884515772727647
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.1,1483,399,0.26904922454484154,0.24403669724770644,0.1102643647154033,2.440037860275786
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_summary__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.2,2966,641,0.21611598111935265,0.39204892966360855,0.1102643647154033,1.9599802862616276
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.05,742,235,0.316711590296496,0.1437308868501529,0.1102643647154033,2.872293248266937
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.1,1483,397,0.2677006068779501,0.24281345565749235,0.1102643647154033,2.4278070940588647
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.2,2966,643,0.2167902899527984,0.39327217125382263,0.1102643647154033,1.9660956693700884
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.05,742,233,0.3140161725067385,0.14250764525993884,0.1102643647154033,2.847848199345516
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.1,1483,397,0.2677006068779501,0.24281345565749235,0.1102643647154033,2.4278070940588647
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_full_indicator__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.2,2966,643,0.2167902899527984,0.39327217125382263,0.1102643647154033,1.9660956693700884
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,score_average,2,0.0,,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,score_average,2,0.0,,ranking,0.05,742,234,0.31536388140161725,0.14311926605504588,0.1102643647154033,2.8600707238062264
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,score_average,2,0.0,,ranking,0.1,1483,399,0.26904922454484154,0.24403669724770644,0.1102643647154033,2.440037860275786
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,score_average,2,0.0,,ranking,0.2,2966,646,0.21780175320296696,0.39510703363914373,0.1102643647154033,1.9752687440327792
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,rank_average,2,0.0,,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,rank_average,2,0.0,,ranking,0.05,742,234,0.31536388140161725,0.14311926605504588,0.1102643647154033,2.8600707238062264
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,rank_average,2,0.0,,ranking,0.1,1483,398,0.2683749157113958,0.2434250764525994,0.1102643647154033,2.4339224771673256
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr0015_l210_sqrt,multiple,rank_average,2,0.0,,ranking,0.2,2966,643,0.2167902899527984,0.39327217125382263,0.1102643647154033,1.9660956693700884
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.05,742,234,0.31536388140161725,0.14311926605504588,0.1102643647154033,2.8600707238062264
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.1,1483,398,0.2683749157113958,0.2434250764525994,0.1102643647154033,2.4339224771673256
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,score_average,2,0.0,,ranking,0.2,2966,642,0.21645313553607554,0.3926605504587156,0.1102643647154033,1.963037977815858
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.05,742,235,0.316711590296496,0.1437308868501529,0.1102643647154033,2.872293248266937
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.1,1483,399,0.26904922454484154,0.24403669724770644,0.1102643647154033,2.440037860275786
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_no_lab_interactions__Cat_d6_lr002_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.2,2966,642,0.21645313553607554,0.3926605504587156,0.1102643647154033,1.963037977815858
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,score_average,2,0.0,,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,score_average,2,0.0,,ranking,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,score_average,2,0.0,,ranking,0.1,1483,397,0.2677006068779501,0.24281345565749235,0.1102643647154033,2.4278070940588647
test,plateau_probability_ensemble,score_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,score_average,2,0.0,,ranking,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.1,1483,396,0.2670262980445044,0.24220183486238533,0.1102643647154033,2.4216917109504044
test,plateau_probability_ensemble,rank_average__ens_full_indicator__Cat_d6_lr0015_l210_custom025__ens_cat_interactions__Cat_d6_lr0015_l210_custom025,ens_full_indicator__Cat_d6_lr0015_l210_custom025|ens_cat_interactions__Cat_d6_lr0015_l210_custom025,multiple,rank_average,2,0.0,,ranking,0.2,2966,647,0.21813890761968982,0.39571865443425075,0.1102643647154033,1.9783264355870094
